YEAR,UNIQUE_CARRIER,ARR,DEP,DELDEP,DELARR,PUNCTUALITYARR,PUNCTUALITYDEP
2010,Alaska Airlines Inc.,136950,136950,13130,15861,0.884184009,0.904125593
2010,Delta Air Lines Inc.,732973,732973,135324,149425,0.796138466,0.815376555
2010,AirTran Airways Corporation,248844,248844,34755,39404,0.841651798,0.860334185
2010,Hawaiian Airlines Inc.,67649,67649,3199,4972,0.926502979,0.952711792
2010,Mesa Airlines Inc.,174797,174797,22645,25339,0.855037558,0.870449722
2011,Alaska Airlines Inc.,143726,143726,12867,15615,0.891355774,0.910475488
2011,Delta Air Lines Inc.,732331,732331,106909,118041,0.838814689,0.854015466
2011,AirTran Airways Corporation,248703,248703,28976,35323,0.857971154,0.883491554
2011,Hawaiian Airlines Inc.,66740,66740,3506,4650,0.930326641,0.947467785
2011,Mesa Airlines Inc.,156297,156297,19795,21691,0.861219345,0.873350096
2012,Alaska Airlines Inc.,147569,147569,14336,16779,0.886297258,0.902852225
2012,Delta Air Lines Inc.,726879,726879,86959,92829,0.872290987,0.880366608
2012,AirTran Airways Corporation,218162,218162,21550,26235,0.879745327,0.901220194
2012,Hawaiian Airlines Inc.,74109,74109,3529,4798,0.935257526,0.952380952
2012,Mesa Airlines Inc.,133976,133976,16008,18023,0.865475906,0.880515913
2013,Alaska Airlines Inc.,154743,154743,13723,18796,0.878534086,0.911317475
2013,Delta Air Lines Inc.,754670,754670,105030,113157,0.850057641,0.860826586
2013,AirTran Airways Corporation,173952,173952,32418,34131,0.803790701,0.813638245
2013,Hawaiian Airlines Inc.,72286,72286,3268,4712,0.934814487,0.954790693
2013,Mesa Airlines Inc.,140922,140922,23952,28042,0.801010488,0.830033636
2014,Alaska Airlines Inc.,160257,160257,16607,20975,0.869116482,0.896372701
2014,Delta Air Lines Inc.,800375,800375,115991,122489,0.846960487,0.855079182
2014,AirTran Airways Corporation,79495,79495,14299,13518,0.829951569,0.820127052
2014,Hawaiian Airlines Inc.,74732,74732,3782,5826,0.922041428,0.949392496
2015,Alaska Airlines Inc.,172521,172521,18703,22352,0.870438961,0.891590009
2015,Delta Air Lines Inc.,875881,875881,123364,118023,0.865252243,0.859154383
2015,Hawaiian Airlines Inc.,76272,76272,5585,8618,0.88700965,0.926775226
2016,Alaska Airlines Inc.,88162,88162,7958,9813,0.888693541,0.909734353
2016,Delta Air Lines Inc.,454372,454372,60666,56812,0.874965887,0.86648385
2016,Hawaiian Airlines Inc.,37887,37887,2100,3030,0.920025339,0.944572017
