YEAR,UNIQUE_CARRIER,ARR,DEP,DELDEP,DELARR,PUNCTUALITYARR,PUNCTUALITYDEP
2010,B6,201434,201434,41784,44368,0.779739269,0.792567293
2010,F9,81966,81966,13100,14717,0.820449943,0.840177635
2010,MQ,436976,436976,78818,87136,0.800593168,0.819628538
2010,OH,147633,147633,27278,33739,0.771467084,0.815231012
2011,B6,215970,215970,47712,53039,0.754414965,0.779080428
2011,F9,85485,85485,15733,17079,0.800210563,0.815956016
2011,MQ,448178,448178,75922,87174,0.805492461,0.830598557
2012,B6,229056,229056,42529,44965,0.803694293,0.814329247
2012,F9,79255,79255,15450,17122,0.783963157,0.805059618
2012,MQ,473140,473140,69255,75466,0.840499641,0.853626833
2013,B6,241777,241777,54018,59176,0.755245536,0.776579245
2013,F9,75612,75612,17721,19950,0.736152992,0.765632439
2013,MQ,439865,439865,96340,105983,0.759055619,0.780978255
2014,B6,249693,249693,49843,54594,0.781355505,0.80038287
2014,F9,85474,85474,18320,21654,0.746659803,0.785665817
2014,MQ,392701,392701,83574,100392,0.74435512,0.787181596
2015,B6,267048,267048,57691,59175,0.778410623,0.783967676
2015,F9,90836,90836,20781,23570,0.740521379,0.771225065
2015,MQ,294632,294632,56293,60547,0.794499579,0.808937929
2015,NK,117379,117379,31602,34221,0.70845722,0.730769558
2016,B6,139891,139891,33061,32836,0.765274392,0.763665997
2016,F9,43954,43954,7498,7541,0.828434272,0.829412568
2016,NK,67525,67525,17918,18632,0.724072566,0.734646427
